Date|Category|Item|Amount|Regular ?|Remark
9/28/2015|Cook|Food|$11.00 |Y|pear
9/28/2015|Cook|Food|$4.00 |Y|Lemon
9/28/2015|Cook|Food|$8.00 |Y|eggplant
9/28/2015|Misc|哥士的|$4.00 |N|海富
9/28/2015|Cook|Snack|$27.90 |N|雪糕
9/28/2015|Domestic|洗面|$195.00 |Y|SaSa
9/28/2015|Bill|Park|$2,655.00 |Y|
9/28/2015|Meal|Lunch|$52.00 |Y|泰國人海南雞
9/28/2015|Meal|Lunch|$35.00 |Y|譚仔
9/28/2015|Cook|Food|$26.90 |Y|egg (ParknShop)
9/29/2015|Meal|Breakfast|$23.00 |Y|興濱
9/29/2015|Meal|Lunch|$85.00 |Y|Triple O
9/29/2015|Domestic|眼藥水|$260.40 |Y|萬寧
9/29/2015|Cook|Snack|$19.90 |Y|萬寧
9/30/2015|Meal|Breakfast|$22.00 |Y|興濱
9/30/2015|Meal|Lunch|$63.00 |Y|great
9/30/2015|Transport|MTR|$15.60 |Y|來回旺角
9/30/2015|Cook|買餸|$500.00 |Y|玫瑰
9/30/2015|Bill|Custodian|$25.00 |Y|
9/14/2015|Bill|ACE Insurance|$399.00 |Y|
10/1/2015|Drive|Park|$45.00 |N|迎海
10/1/2015|Drive|Park|$40.00 |N|翠擁華庭
10/1/2015|Cook|買餸|$212.30 |Y|
10/1/2015|Cook|Food|$28.20 |Y|麵包 / 鳥龍茶
10/1/2015|Drive|Toll|$8.00 |N|尖山
9/26/2015|Bill|Netvigator|$238.00 |Y|
10/1/2015|Bill|Meifoo|$1,096.00 |Y|
10/2/2015|Meal|Breakfast|$16.00 |Y|腸粉 / 牛肉
10/2/2015|Meal|Lunch|$56.00 |Y|
10/2/2015|Meal|Tea|$39.00 |Y|燉奶佬
10/3/2015|Meal|Lunch|$70.00 |Y|彩虹茶餐廳
10/3/2015|Meal|Tea|$23.00 |Y|保安道豆腐花
10/3/2015|Cook|買餸|$95.80 |Y|
10/3/2015|Drive|Park|$26.00 |N|坪石
10/4/2015|Meal|Lunch|$608.00 |Y|百樂門
10/4/2015|Meal|Dinner|$134.40 |Y|Pizza Hut
10/5/2015|Meal|Breakfast|$16.00 |Y|腸粉 / 牛肉
10/5/2015|Meal|Lunch|$63.00 |Y|great
10/5/2015|Cook|Food|$6.40 |Y|鷹粟粉
10/5/2015|Domestic|雜貨|$22.50 |Y|
10/6/2015|Meal|Breakfast|$17.00 |Y|McDonald
10/6/2015|Meal|Lunch|$39.00 |Y|
10/6/2015|Transport|MTR|$26.20 |Y|來回太古
10/6/2015|Cook|Drink|$16.00 |Y|歇腳亭
10/6/2015|Domestic|雜貨|$106.80 |Y|
10/6/2015|Cook|Food|$10.90 |Y|papaya parknshop
10/7/2015|Misc|Masks|$7.00 |N|seven-eleven
10/7/2015|Misc|still water|$12.90 |Y|seven-eleven
10/7/2015|Transport|MTR|$26.20 |Y|來回太古
10/7/2015|Meal|Lunch|$58.00 |Y|燉奶佬
10/7/2015|Meal|Breakfast|$16.00 |Y|腸粉 / 牛肉
10/7/2015|Meal|Lunch|$63.00 |Y|great
10/7/2015|Meal|Tea|$26.00 |Y|大家樂
10/7/2015|Domestic|Diffuser|$620.50 |N|diffuser and oil from muji
10/8/2015|Meal|Breakfast|$16.00 |Y|腸粉 / 牛肉
10/8/2015|Meal|Lunch|$52.00 |Y|順景
10/8/2015|Transport|MTR|$26.20 |Y|來回太古
10/8/2015|Meal|Lunch|$55.00 |Y|旭川
10/9/2015|Meal|Breakfast|$16.00 |Y|腸粉 / 牛肉
10/9/2015|Meal|Lunch|$52.00 |Y|順景
10/9/2015|Meal|Lunch|$32.00 |Y|北海道(美孚)
10/9/2015|Transport|MTR|$13.80 |Y|美孚去中環
10/9/2015|Transport|Minibus|$4.20 |Y|海麗邨
10/9/2015|Jinny|陪月|$500.00 |N|玫瑰 - 收工利是
10/10/2015|Domestic|雜貨|$182.00 |Y|永安 - 隔油/ 洗衣機清潔
10/10/2015|Cook|Food|$100.50 |Y|ParkNShop
10/10/2015|Meal|Lunch|$128.00 |Y|佐敦
